instrument_id,trading_day,open,high,low,close,volume,turnover,open_interest
T2206,20220324,100.12999725340000000,100.36000061040000000,100.04499816890000000,100.34500122070000000,63951.000000,64077351700.000000,1736.000000
T2206,20220325,100.27999877930000000,100.43000030520000000,100.25499725340000000,100.41000366210000000,53991.000000,54184976550.000000,-1163.000000
T2206,20220328,100.48000335690000000,100.51499938960000000,100.34999847410000000,100.40499877930000000,52660.000000,52887895300.000000,-1477.000000
T2206,20220329,100.44000244140000000,100.49500274660000000,100.35500335690000000,100.41999816890000000,46728.000000,46927645750.000000,-139.000000
T2206,20220330,100.52999877930000000,100.71499633790000000,100.47000122070000000,100.66500091550000000,60935.000000,61299850250.000000,4325.000000
T2206,20220331,100.58000183110000000,100.65000152590000000,100.35500335690000000,100.44000244140000000,58157.000000,58452296200.000000,-3686.000000
T2206,20220412,100.65499877930000000,100.98999786380000000,100.36000061040000000,100.51000213620000000,114210.000000,114965712450.000000,-3976.000000
T2206,20220413,100.56999969480000000,100.68499755860000000,100.55999755860000000,100.66999816890000000,46830.000000,47121989000.000000,-390.000000
T2206,20220414,100.77500152590000000,100.83999633790000000,100.64499664310000000,100.68499755860000000,53901.000000,54311586350.000000,1437.000000
T2206,20220415,100.61000061040000000,100.81999969480000000,100.57499694820000000,100.65000152590000000,71349.000000,71838644950.000000,805.000000
T2206,20220418,100.48000335690000000,100.49500274660000000,100.21499633790000000,100.23500061040000000,84775.000000,85048098300.000000,-2590.000000
T2206,20220419,100.30999755860000000,100.33000183110000000,100.12000274660000000,100.19000244140000000,58659.000000,58788867150.000000,219.000000
T2206,20220421,100.18499755860000000,100.29000091550000000,100.17500305180000000,100.24500274660000000,49943.000000,50061536000.000000,459.000000
T2206,20220422,100.21499633790000000,100.25000000000000000,100.01499938960000000,100.09999847410000000,63673.000000,63757136400.000000,3936.000000
T2206,20220425,100.18000030520000000,100.35500335690000000,100.18000030520000000,100.33000183110000000,66516.000000,66698587650.000000,-7344.000000
T2206,20220426,100.32499694820000000,100.33000183110000000,100.22499847410000000,100.27500152590000000,49363.000000,49497832400.000000,-3618.000000
T2206,20220427,100.20999908450000000,100.25499725340000000,100.12500000000000000,100.19000244140000000,61910.000000,62024703850.000000,-704.000000
T2206,20220510,100.68499755860000000,100.71499633790000000,100.58999633790000000,100.70500183110000000,51495.000000,51830807000.000000,-7387.000000
T2206,20220511,100.61000061040000000,100.65499877930000000,100.47000122070000000,100.56999969480000000,51921.000000,52213790150.000000,-6681.000000
T2206,20220512,100.62999725340000000,100.71499633790000000,100.57499694820000000,100.68499755860000000,46828.000000,47134129400.000000,-5728.000000
T2206,20220513,100.75000000000000000,100.79499816890000000,100.55000305180000000,100.56999969480000000,50454.000000,50805218000.000000,-7435.000000
T2206,20220516,100.48999786380000000,100.62999725340000000,100.44499969480000000,100.62500000000000000,47966.000000,48227065050.000000,-10982.000000
T2206,20220517,100.69499969480000000,100.70500183110000000,100.61000061040000000,100.65499877930000000,34144.000000,34370744800.000000,-8213.000000
T2206,20220518,100.66999816890000000,100.80000305180000000,100.54000091550000000,100.76999664310000000,42261.000000,42564823300.000000,-12946.000000
T2206,20220519,100.81500244140000000,100.87000274660000000,100.66500091550000000,100.77500152590000000,30897.000000,31136761300.000000,-13392.000000
T2206,20220520,100.69999694820000000,100.76000213620000000,100.62000274660000000,100.75000000000000000,18440.000000,18568372800.000000,-7671.000000
T2206,20220523,100.80999755860000000,100.95500183110000000,100.80999755860000000,100.94999694820000000,12304.000000,12415838700.000000,-6098.000000
T2206,20220524,100.89499664310000000,101.01999664310000000,100.89499664310000000,101.00499725340000000,9162.000000,9252736350.000000,-5054.000000
T2206,20220525,101.08499908450000000,101.16999816890000000,101.02500152590000000,101.13500213620000000,6604.000000,6676936700.000000,-2930.000000
T2206,20220526,101.26999664310000000,101.50000000000000000,101.26999664310000000,101.48000335690000000,7371.000000,7474234900.000000,-2113.000000
T2206,20220527,101.41500091550000000,101.48500061040000000,101.35500335690000000,101.45999908450000000,5709.000000,5789865500.000000,-2680.000000
T2206,20220530,101.30500030520000000,101.37000274660000000,101.27500152590000000,101.32499694820000000,35783.000000,36304858600.000000,-1237.000000
T2206,20220531,101.26999664310000000,101.26999664310000000,101.11000061040000000,101.11000061040000000,663.000000,670723200.000000,-422.000000
T2206,20220601,101.17500305180000000,101.17500305180000000,101.04499816890000000,101.08499908450000000,262.000000,264942750.000000,-109.000000
T2206,20220606,101.05500030520000000,101.05500030520000000,100.94499969480000000,100.97000122070000000,144.000000,145481450.000000,37.000000
T2206,20220607,101.05500030520000000,101.05500030520000000,101.05500030520000000,101.05500030520000000,1.000000,1010550.000000,0.000000
T2206,20220608,101.05999755860000000,101.05999755860000000,101.05999755860000000,101.05999755860000000,5.000000,5053000.000000,0.000000
T2206,20220609,101.08000183110000000,101.08000183110000000,101.08000183110000000,101.08000183110000000,8.000000,8086400.000000,-8.000000
T2209,20220324,99.83000183110000000,100.04000091550000000,99.73500061040000000,100.02999877930000000,3712.000000,3706716250.000000,350.000000
T2209,20220325,99.96499633790000000,100.12999725340000000,99.95999908450000000,100.08999633790000000,3406.000000,3408467100.000000,743.000000
T2209,20220328,100.19499969480000000,100.20999908450000000,100.06500244140000000,100.12500000000000000,3756.000000,3761268600.000000,165.000000
